Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00875,="11:48:49.875",0x103AF9B,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 06 00 89 01 47 01 
00876,="11:48:49.906",0x103B094,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00877,="11:48:49.935",0x103B18F,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 06 00 89 01 47 01 
00878,="11:48:49.966",0x103B287,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00879,="11:48:49.996",0x103B382,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 06 00 89 01 47 01 
00880,="11:48:49.996",0x103B47A,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00881,="11:48:50.024",0x103B4F3,ch1,Receive,0x1073C0D1,Data,Extended,0x08,x| 00 07 09 00 00 00 00 00 
00882,="11:48:50.024",0x103B4F8,ch1,Receive,0x1075C0D1,Data,Extended,0x08,x| 00 00 59 00 7D 45 04 00 
00883,="11:48:50.024",0x103B4FE,ch1,Receive,0x1080C0D1,Data,Extended,0x08,x| FF FF FF FF 00 FF 00 01 
00884,="11:48:50.024",0x103B575,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 06 00 89 01 47 01 
00885,="11:48:50.056",0x103B66D,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00886,="11:48:50.086",0x103B769,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 06 00 89 01 47 01 
00887,="11:48:50.115",0x103B861,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00888,="11:48:50.146",0x103B95C,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 06 00 89 01 47 01 
00889,="11:48:50.146",0x103BA54,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00890,="11:48:50.176",0x103BB4F,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 06 00 89 01 47 01 
00891,="11:48:50.205",0x103BC48,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00892,="11:48:50.236",0x103BD43,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 06 00 88 01 47 01 
00893,="11:48:50.265",0x103BE3A,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00894,="11:48:50.295",0x103BF36,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 06 00 88 01 47 01 
00895,="11:48:50.325",0x103C02F,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00896,="11:48:50.325",0x103C12A,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 06 00 88 01 47 01 
00897,="11:48:50.356",0x103C221,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00898,="11:48:50.385",0x103C31D,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 06 00 88 01 47 01 
00899,="11:48:50.415",0x103C415,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00900,="11:48:50.445",0x103C510,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 06 00 89 01 47 01 
00901,="11:48:50.445",0x103C609,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00902,="11:48:50.475",0x103C704,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 05 00 89 01 47 01 
00903,="11:48:50.506",0x103C7FB,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00904,="11:48:50.506",0x103C85F,ch1,Receive,0x1081C0D1,Data,Extended,0x08,x| FF 00 FF 00 FF FF FF FF 
00905,="11:48:50.506",0x103C865,ch1,Receive,0x1082C0D1,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00906,="11:48:50.506",0x103C86A,ch1,Receive,0x107BFFD1,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
00907,="11:48:50.536",0x103C8F7,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 05 00 89 01 47 01 
00908,="11:48:50.566",0x103C9F0,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00909,="11:48:50.596",0x103CAEB,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 05 00 89 01 47 01 
00910,="11:48:50.596",0x103CBE3,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00911,="11:48:50.625",0x103CCDE,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 05 00 89 01 47 01 
00912,="11:48:50.656",0x103CDD5,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00913,="11:48:50.686",0x103CED1,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 05 00 89 01 47 01 
00914,="11:48:50.715",0x103CFC9,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00915,="11:48:50.745",0x103D0C5,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 05 00 89 01 47 01 
00916,="11:48:50.745",0x103D1BC,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
00917,="11:48:50.775",0x103D2B8,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 05 00 89 01 47 01 
00918,="11:48:50.806",0x103D3B1,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 05 00 00 00 00 0B 00 64 
